Nyx,Levski (Delamar),Nyx,Nyx (Star),14.99,Nyx
Nyx,Levski (Delamar),Nyx,Nyx I,17.89,Nyx
Nyx,Levski (Delamar),Nyx,Nyx II,22.18,Nyx
Nyx,Levski (Delamar),Nyx,Nyx III,23.38,Nyx
Nyx,Levski (Delamar),Nyx,People's Service Station Alpha,36.27,Nyx
Nyx,Levski (Delamar),Nyx,People's Service Station Delta,36.21,Nyx
Nyx,Levski (Delamar),Nyx,People's Service Station Lambda,61.94,Nyx
Nyx,Levski (Delamar),Nyx,People's Service Station Theta,52.11,Nyx
Nyx,Levski (Delamar),Nyx,Pyro Gateway,32.35,Nyx
Nyx,Levski (Delamar),Nyx,Stanton Gateway,12.50,Nyx
Nyx,Levski (Delamar),Pyro,Bloom,80.01,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,Checkmate,90.05,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,Dudley & Daughters,60.15,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,Endgame,120.12,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,Gaslight,65.20,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,Megumi Refueling,120.73,Nyx;Stanton;Pyro
Nyx,Levski (Delamar),Pyro,Monox,81.89,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,Nyx Gateway,32.35,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,Patch City,88.42,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,PYR1 L1,76.34,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,PYR1 L2,75.03,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,PYR1 L3,90.31,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,PYR1 L4,75.91,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,PYR1 L5,83.29,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,PYR2 L1,82.04,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,PYR2 L2,81.92,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,PYR2 L3,88.96,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,PYR2 L5,72.33,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,PYR3 L2,80.09,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,PYR3 L4,65.47,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,PYR3 L5,100.58,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,PYR5 L1,64.19,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,PYR5 L3,114.92,Nyx;Stanton;Pyro
Nyx,Levski (Delamar),Pyro,PYR6 L1,115.45,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,PYR6 L2,119.95,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,Pyro (Star),82.78,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,Pyro I,75.72,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,Pyro IV,64.68,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,Pyro V,64.41,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,Rat's Nest,61.97,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,Rod's Fuel 'n Supplies,112.94,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,Stanton Gateway,98.94,Nyx;Stanton;Pyro
Nyx,Levski (Delamar),Pyro,Starlight Service Station,79.71,Nyx;Pyro
Nyx,Levski (Delamar),Pyro,Terminus,117.87,Nyx;Pyro
Nyx,Levski (Delamar),Stanton,ARC-L1 Wide Forest Station,104.88,Nyx;Stanton
